0.00000000e+00,0.00000000e+00,2.48412207e-01
-3.65000000e+02,-6.10000000e+02,8.58154881e-02
-7.35000000e+02,-1.23000000e+03,1.88344467e-01
-1.13000000e+03,-1.89000000e+03,2.10753892e-01
-1.64000000e+03,0.00000000e+00,1.40800635e-01
-1.80000000e+03,-6.10000000e+02,1.51806389e-01
-1.96000000e+03,-1.23000000e+03,1.68264875e-01
-1.60500000e+03,-1.23000000e+03,9.49540863e-02
-1.76500000e+03,-1.89000000e+03,3.63610523e-01
-6.80000000e+02,0.00000000e+00,1.78800762e-01
-9.55000000e+02,-6.10000000e+02,1.05412977e-01
-1.23500000e+03,-1.23000000e+03,8.92353761e-02
-1.34500000e+03,-1.47500000e+03,7.42492685e-02
-1.17000000e+03,-1.37500000e+03,8.19995978e-02
-1.43000000e+03,-1.37500000e+03,7.74488632e-02
