0.00000000e+00,0.00000000e+00,2.54971642e-01
-3.65000000e+02,-6.10000000e+02,6.90104029e-02
-7.35000000e+02,-1.23000000e+03,1.00782914e-01
-1.13000000e+03,-1.89000000e+03,1.61082835e-01
-1.64000000e+03,0.00000000e+00,7.89136590e-02
-1.80000000e+03,-6.10000000e+02,6.87142642e-02
-1.96000000e+03,-1.23000000e+03,3.77345450e-01
-1.60500000e+03,-1.23000000e+03,1.14136448e-01
-1.76500000e+03,-1.89000000e+03,3.08871392e-01
-6.80000000e+02,0.00000000e+00,2.45261733e-01
-9.55000000e+02,-6.10000000e+02,3.86541913e-02
-1.23500000e+03,-1.23000000e+03,1.50903196e-01
-1.34500000e+03,-1.47500000e+03,1.12052162e-01
-1.17000000e+03,-1.37500000e+03,1.19069979e-01
-1.43000000e+03,-1.37500000e+03,1.42794897e-01
